text,labels
effigy lanjiao meepo,O
space created hah [SEP] gj lion :D,O
space created hah [SEP] force it [SEP] mightve won if slark did also,O
nice arlmet,O
see idiot sf always watch porn when clash,E
gg,O
sad spec noes cape for him [SEP] ok,O
sad spec noes cape for him [SEP] why so rude tot this casual banter. [SEP] as me u fucking shit wow,E
sad spec noes cape for him [SEP] why so rude tot this casual banter. [SEP] wat that one i cant even run [SEP] haha ok,O
NC TREDE,O
yea,O
we are losing [SEP] THIS 2K STORM OMG,I
HAHAHA WTF!,O
lol [SEP] like ur mom,E
lol [SEP] really ? [SEP] XD LINA Y PUGDE REPORTADO LINA Y PUGDE REPORTADO PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS REPORTEN A LINA Y PUGDE,O
lol [SEP] really ? [SEP] wahaha [SEP] micro the best,O
fail bot,O
1 min [SEP] ggwp,O
gg only noob ns,E
jsut try wew,O
not my prob [SEP] come come  come ember,O
you can win now?,O
but 1 for 1 do nothing [SEP] crash,O
but 1 for 1 do nothing [SEP] DIE [SEP] where you at,O
lol,O
sure kid,I
lol,O
we dont def,O
WP [SEP] fuck you,E
WP [SEP] ez [SEP] stupid vodkahead...,E
Fast fnish pls,O
hi your cute [SEP] FACTAS captain obvious captain obvious captain obvious captain obvious captain obvious,O
hi your cute [SEP] how long [SEP] rekt ?,O
hi your cute [SEP] how long [SEP] dude we wait him 10 mints .. Wtf he is doing [SEP] hhm bobo bobo pa? bobo,O
"hi your cute [SEP] how long [SEP] dude we wait him 10 mints .. Wtf he is doing [SEP] he's russian, he won't come back [SEP] easy game noobs lol",E
"hi your cute [SEP] how long [SEP] dude we wait him 10 mints .. Wtf he is doing [SEP] he's russian, he won't come back [SEP] we dno [SEP] always can be silencer :D",O
"hi your cute [SEP] how long [SEP] dude we wait him 10 mints .. Wtf he is doing [SEP] he's russian, he won't come back [SEP] we dno [SEP] just report him [SEP] ff plz I wont come out",O
nice doom brah,O
retard alc picks IN SOLO MMR,E
?,O
gg wp [SEP] hey,O
ege,O
scared ?,O
u know somethings wrong when ur team has more dmg from duel wins than we do,O
ez [SEP] Too soon bros too soon,O
ez [SEP] gg [SEP] gg,O
haha,O
offlane was ez too,I
HAH,O
ggwp techies u singlehandely won this game [SEP] our gyro is retarded,E
ggwp techies u singlehandely won this game [SEP] gg [SEP] Very lag,O
ggwp techies u singlehandely won this game [SEP] gg [SEP] easiest game of my life [SEP] 4K GAMING SAD HAAAAAAAAAAAAAAAAAAAAAA,I
neither are you,O
gg,O
everything but gg,O
z [SEP] no,O
z [SEP] gg [SEP] HAYOP KA,O
doesnt matter is you all jump into black hole,O
gg,O
z bo.,I
lol,O
hook top,O
yes,O
ty [SEP] dont tell ur mom to shut up,E
G,A
hisssssssssssss [SEP] Report legion toxic player,A
nob Noob,E
3 vs 5,O
lol feed?,E
learn english,E
free win YA RIGHT,O
lets wait,A
morphling does,O
wp,O
fuck wasting my time,E
idiot invoker,E
gg [SEP] he's retarded and let u win practicalle 4k,E
gg [SEP] me gud player [SEP] bought acc,I
B M W,O
FUCK EM ALL xd [SEP] hehe cleave,O
FUCK EM ALL xd [SEP] alch games are the worst [SEP] GG,O
FUCK EM ALL xd [SEP] alch games are the worst [SEP] NO AGHS FOR ANYONE [SEP] need Reconnet grapic bug,A
FUCK EM ALL xd [SEP] alch games are the worst [SEP] NO AGHS FOR ANYONE [SEP] mirana games GGgg) [SEP] ahora si,O
nah i actuially tp'ed in  alone :/,O
g?,A
hahahaha TOO BAD ES,O
wa,O
my team doe,O
nigga we dont ahv etime for you to jack off pudge stop jacking offfffff [SEP] asshole,E
nigga we dont ahv etime for you to jack off pudge stop jacking offfffff [SEP] wait [SEP] can u let us end,O
nigga we dont ahv etime for you to jack off pudge stop jacking offfffff [SEP] wait [SEP] kk buying beer brb [SEP] XD * the  irony is real,O
stfu trash,E
#tooeasy [SEP] im so lag,O
#tooeasy [SEP] more like they didnt allow me to jack off [SEP] one day allov u all of u,I
lol mirana is flying,O
he didnt lose mid actually,O
horoshiy doom [SEP] PICKING RUGAL GG,O
horoshiy doom [SEP] :D [SEP] gg,O
he comeback  he is on dota!,A
def man,A
ty,O
solo rosh easy,O
X8) y,O
gg [SEP] ???,O
20,A
xd,O
now u gona say ez mid? :D hahahah,I
??? slardar  when dc ?,O
nice,O
@_@ that deny tho,O
ez gj [SEP] fattttttttttttttttttttttttttttttt,O
ez gj [SEP] report np [SEP] why,O
oh shut up jug,E
LOL [SEP] fail lol,O
LOL [SEP] what? [SEP] a slutty rock,O
LOL [SEP] what? [SEP] TRYING HARD? JUST TYPE GG [SEP] is a desease,O
LOL [SEP] what? [SEP] TRYING HARD? JUST TYPE GG [SEP] are you sure? haha [SEP] how do i bet 500 for 300 back logic,O
ggwp,O
^_^,O
i love me? [SEP] fix the internet and play,O
i love me? [SEP] lol [SEP] aw,O
:)),O
wahaha [SEP] EZ MMR 4 U GUYZ,I
surprise mothercukeer,E
talk cock more [SEP] How much do you get paid each game?,O
i got recked mid,O
spell it right haha [SEP] SHOVE IT UP UR ASS NOOB ASS 36 MIN NO SKADI NO BASHER NOOB,E
spell it right haha [SEP] Black out [SEP] he droped his items,O
spell it right haha [SEP] Black out [SEP] no plans of coming back? [SEP] sad,O
spell it right haha [SEP] Black out [SEP] no plans of coming back? [SEP] menu [SEP] u guys shold have finished earlier,O
spell it right haha [SEP] Black out [SEP] no plans of coming back? [SEP] menu [SEP] AHAAHAHAHAH :) [SEP] as if alch mid is any better,O
noob anti mage ever saw,E
need to trow this game [SEP] gg 'wp' heh,O
need to trow this game [SEP] throw also win [SEP] boom,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] teaching,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] skatin on some thin ice,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] Wat a rpo,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] gg,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] 24 kills is feed,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] they use all skills on me,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] WTF WAT HAPPEN,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] alche.. dont play ranked please. ever again,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] has hecho algo ? xd,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] ??,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] wrong,O
need to trow this game [SEP] throw also win [SEP] ez as fuck [SEP] laugh bh [SEP] slardar NOOB TRYING HARD! ahahahaha [SEP] ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEP] OO IC [SEP] ? [SEP] its ok i had fun hooking u guys [SEP] TRY HARD PLS [SEP] ez [SEP] EZ 56 mins [SEP] SO MNY THING TO TALK? [SEP] 1hr ez? [SEP] WITH THIS MAG BEST ARISE,O
