text,labels
effigy lanjiao meepo,O
gj lion :D,O
mightve won if slark did also,O
nice arlmet,O
see idiot sf always watch porn when clash,E
gg,O
ok,O
as me u fucking shit wow,E
haha ok,O
NC TREDE,O
yea,O
THIS 2K STORM OMG,I
HAHAHA WTF!,O
like ur mom,E
XD LINA Y PUGDE REPORTADO LINA Y PUGDE REPORTADO PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS PORFAVOR AYUDEN NO LES GUSTARIA Q LES TOQUE ESAS LACRAS REPORTEN A LINA Y PUGDE,O
micro the best,O
fail bot,O
ggwp,O
gg only noob ns,E
jsut try wew,O
come come  come ember,O
you can win now?,O
crash,O
where you at,O
lol,O
sure kid,I
lol,O
we dont def,O
fuck you,E
stupid vodkahead...,E
Fast fnish pls,O
FACTAS captain obvious captain obvious captain obvious captain obvious captain obvious,O
rekt ?,O
hhm bobo bobo pa? bobo,O
easy game noobs lol,E
always can be silencer :D,O
ff plz I wont come out,O
nice doom brah,O
retard alc picks IN SOLO MMR,E
?,O
hey,O
ege,O
scared ?,O
u know somethings wrong when ur team has more dmg from duel wins than we do,O
Too soon bros too soon,O
gg,O
haha,O
offlane was ez too,I
HAH,O
our gyro is retarded,E
Very lag,O
4K GAMING SAD HAAAAAAAAAAAAAAAAAAAAAA,I
neither are you,O
gg,O
everything but gg,O
no,O
HAYOP KA,O
doesnt matter is you all jump into black hole,O
gg,O
z bo.,I
lol,O
hook top,O
yes,O
dont tell ur mom to shut up,E
G,A
Report legion toxic player,A
nob Noob,E
3 vs 5,O
lol feed?,E
learn english,E
free win YA RIGHT,O
lets wait,A
morphling does,O
wp,O
fuck wasting my time,E
idiot invoker,E
he's retarded and let u win practicalle 4k,E
bought acc,I
B M W,O
hehe cleave,O
GG,O
need Reconnet grapic bug,A
ahora si,O
nah i actuially tp'ed in  alone :/,O
g?,A
hahahaha TOO BAD ES,O
wa,O
my team doe,O
asshole,E
can u let us end,O
XD * the  irony is real,O
stfu trash,E
im so lag,O
one day allov u all of u,I
lol mirana is flying,O
he didnt lose mid actually,O
ICKING RUGAL GG,O
gg,O
he comeback  he is on dota!,A
def man,A
ty,O
solo rosh easy,O
X8) y,O
???,O
20,A
xd,O
now u gona say ez mid? :D hahahah,I
??? slardar  when dc ?,O
nice,O
@_@ that deny tho,O
fattttttttttttttttttttttttttttttt,O
why,O
oh shut up jug,E
fail lol,O
a slutty rock,O
is a desease,O
how do i bet 500 for 300 back logic,O
ggwp,O
^_^,O
fix the internet and play,O
aw,O
:)),O
Z MMR 4 U GUYZ,I
surprise mothercukeer,E
How much do you get paid each game?,O
i got recked mid,O
HOVE IT UP UR ASS NOOB ASS 36 MIN NO SKADI NO BASHER NOOB,E
he droped his items,O
sad,O
u guys shold have finished earlier,O
as if alch mid is any better,O
noob anti mage ever saw,E
gg 'wp' heh,O
boom,O
teaching,O
skatin on some thin ice,O
Wat a rpo,O
gg,O
24 kills is feed,O
they use all skills on me,O
WTF WAT HAPPEN,O
alche.. dont play ranked please. ever again,O
has hecho algo ? xd,O
??,O
wrong,O
WITH THIS MAG BEST ARISE,O
bad for us,O
X,O
WELL PLAYED FURION KILL SF GOGO,O
wp,O
sladar u so rich...,O
HAHA,O
wow that arrow,O
gg,O
nice nice,O
LOL,O
<3,O
ya,O
this bs,O
ez 25,I
Worth?,O
WHAT A,O
all dp,O
i know how to count,O
where u pro pudge,O
noob,E
XD,O
worth?,I
wp,O
ty,O
fuck u storm i will use chronio just on you remember,E
HUTUP ARSE. JUST PLAY THE GAME. FUCKING CHICKEN SO NOISY,E
hahahaha,O
ez botlane?,I
the bait xD NO NÖ NO WAY!!!! .................,O
?,O
ASıoufhsjghsdg,O
fag,E
ty good to know,O
same,O
haha,O
"your on our fucking team, you should be arguing our point if he dc, unfair game simples",E
ggwp,O
OH BARA WHAT A HERO GREAT CHARGE WHAT A DIFFICULT PLAY TO CLICK ON SNIPER TWICE,O
report fv please!  and say hi to youtube!,A
515 my ping,O
ĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄĄ,O
WTF,O
unpause its too long,A
gg,O
gg,O
30 sek he back,O
Wtf 4v1 wtf? Really?,O
lothar is for real better than bkb?,O
nice boy,O
es ?,O
?,O
silancer last pick,O
cuz not one pick suppp see my team',O
:),O
why not? we're best buds he's a big flamer,O
it should...,O
rekt mid?,O
?,O
normal everyday 3k,O
GG ALREADY,O
hey slark ur lvl 6+ how to do ? Napakatanga mo hah,O
wtf what a gay,E
;3 <3,O
rekt,O
ty,O
omnislash,O
nd bot,O
seriously team? ur all so lovely that shit,E
gg ez mid,I
no just wasting time,O
like 1k ping,O
thats my bad,O
too ez,I
ppl like this bb and kka noobs,E
died,O
XD,O
lol,O
gg,O
qop  nice catch,O
snipa i like ur name xD,O
lol want paus? really? ES,O
GG,O
morreu no susto,O
Thats a suicide not a teamwork :D,O
XD,O
hes ingame u can look,O
and?,O
wtf w8,A
report him,A
cum at your back,E
sec,O
look at the chat,O
"wow, we wait for you you guys do this",A
ggwp,O
pfffttt my goodness,O
THATS SOME 5K SHIT RIGHT THERE BRUH what u doin in2.5k mmr bracket ?! You're dendi 2!,E
easy,O
sry,O
sure fuck,E
i fucked your moms,E
because ez,I
? do u think i care in 3v5 game? just farm and go ff asap this fucking stupid noob game,E
noob sf,E
my mother got me this new laptop,O
MI,O
HAHAHA this fucking pc restarted himself,O
were aliev dumbcunt,O
we all gave up at min 1,O
grrr,O
i wish i have any report left 4 would do the job,A
ez,I
ez,I
BAIA BAIA,O
damn you horseman,E
LOL,O
hahaha,O
yup,O
gl. hf,O
having good supports helps not everyone can play cores,O
not ez,I
that gap xD,O
he cant connect  wtfast . just connecting with t it,A
greedy,O
save your fucking throne,O
ya,O
loves*,O
oops,O
easy game,I
:D fun lina,O
NO WARD we happy no ward,O
30 sec omg,O
^^,O
bkb blink,O
haha nice,O
h3h3h3,O
thats bad,O
well timber to be honest you should have just shit on slardar 1v1,E
gg,O
ggwp,O
NICE TP WK IDIOT AND STUN,E
"its 21mins, its recorded! bitch",E
we need he afk or leave,A
go thru wr go end,O
fucking rekt cunts ez ezist game of life,E
euls slark in my ulti,O
more freezes retarded reborn,E
i cant run icant hide xd,O
1 0 0 15 mib min* fine ,O
wrong way lion,O
hahahha yeye,O
fucking thais,E
us good>u bad,O
? nah but germans fucks me,E
lel Wtf dog,O
Wew,O
wait la,O
!!,O
i like ur stream,O
chemistry We had That,O
stfu cumbacket,E
RS,O
wp boys,O
? offlane veno solo support rapes u,O
Thats all I gotta say Drow 2-5,I
ahahaha,O
HZ,O
|put ss on mne,O
0-6 0-7 team pro,I
:DDD,O
gg,O
report him plz,A
?,O
it's not over,O
duel me more bitch,E
lol,O
i killed it,O
??,O
gg ff buying rapira,O
XD,O
./.,O
noobis,E
Thanks for the game,O
ez mid,I
yes it its it is,O
gg,O
7 hits,O
pls,O
ggwp,O
joke alche lol so bad,E
we would have won already but this is just a retard,E
tr try TRY,O
when did i talk shit,E
GG,O
0-3 talking haha,I
tell that to PA unpause,O
ggwp,O
?,O
"these 2 , sooo heavy",O
COMMEND me,A
jut watch this pa look at this and he have wards and ukltimate,I
gg,O
no need def 3 idiots are real,E
gg,O
hahahahha yo mama better,O
report am,A
but habit for 8 years,O
ezez,O
ez,I
ok jug lets 1 v 1,O
report ty,A
ur heroes sucks on defending supercreeps hhhahahah,E
zero noob,E
;) WOW,O
they blame u :'( doom  dont be sad,O
?,O
8wins streak got broke im done for,O
true i actually make clocks,O
gg,O
how many gorillas are you?,O
lol,O
WEEEE,O
bb,O
plz wait for our mighty leader,A
free mmr,O
ggwp,O
LOL,O
thanks,O
fagate tin poutsa,O
hai,O
hey clock i love you,O
wp,O
that steal thou,O
snickers.,O
ty,O
lel,O
gg wp,O
i have viper premuted he say anything XD ?,A
:D,O
And this botlane was doing so well,O
report naix for flame and being useless :D,E
0 damage duels,I
yeah but low connecting,O
gg,O
sladar,O
yes,O
so ill buy whatver,O
so short,O
4 decay all dead,O
end end,O
shitty team shit talking since min 1,E
LOL,O
HOTS FIRED,O
w,O
nigma + puck + elder titan !  = Rape hard for us,E
KDDDDDDDDDDDDDD WTF :DDDDDDDDDDDDD NICE COURIER RETARDS PLEASE REPORT SILENCER+AM,E
pls reporspec ty,A
tired of your bullshit omni,E
you lost,O
ur refraction sucks my dick with radiance :D,E
we are in piso net only,O
wanted me that badddddddddddddddddddd,O
fucking creeps,E
gg wp,O
u retard to forget 30seconds ago? lol,E
end,O
Little snake,I
what an idiot,E
WP,O
gg,O
ez predict,I
this sven love you invo,O
Before being negative,O
tinhker :)),O
NGLISH SO BADLY,E
sorry,O
lol,O
3.8 k jug so good,O
who care ?,O
i can kill u like a shit,E
my veno very stupid go report trading,A
this game is amazing,O
haha F9,O
haha rekt ? or wat SA`mi bp in mata De sclav,O
finaly dint die to my duel .. gg :) celebrate :),O
() EZ DOOM,I
gg,O
doom yebok,O
AW,O
shiet bad luck,O
report mirana,A
:),O
noob team,E
esasy,I
haha im a supp duded,O
...,O
reported,A
GG Wew,O
agree,O
gg wp stop def STOP PLS TIME,O
just w8 3 min and go next,A
i have really bad lag,O
Z HC LIXO,I
haha LOL riki!,O
gee gee,O
just report this E,A
what is this,O
sry,O
learn item builds pl,O
for w8,A
the range israel,O
riki?,O
lol,O
commending am,A
nice job shutting me down nice aggro dual,O
nice afk dual mid trahs,E
amazing bh fatfuck,O
JOke ??,O
z eni,I
peru,E
regardless,O
noooo  PLS,O
gg,O
pussy is great,E
just end gus mid end,O
we would have won a while back if we didnt have this pudge,O
said russian axe,E
back track,O
phub do u guys have a squeaker on ur team? because we do and he is a mad one,O
gg,O
ur m8 angry,O
hehe,O
sf gv u back,O
lol,O
what a team..,I
hes miles away,O
gege,O
wtf,O
lol you've dualed me twice in WR,O
gg,O
but the dickriding?,E
LO,O
expecially tuskar,O
AW,O
6.2k 2k real life dollars,O
((,O
you too 3 v 1 noob?,E
No  today :D?,O
wtf this idiots report them pls spoil game,E
wow,O
if kardel not feed,O
hahaha,O
",,,/,, ,,/,, wr ever report wr please",A
lol gg,O
KY ALWAYS BLAME,O
g,A
ANJING !!!!,O
its over mate,O
unfortunately its not that easy,O
gg,O
GG supported,O
ez,I
Gg,O
not yet,O
gl hf folks,O
when u go to a retard hospital do u fell like talking to them? no right exactly,E
g,A
veno uninstalld ota faggot,E
go?,A
ROFL,O
dont just type rc tell us,O
HAHAH slark is having a bad day,O
go take easy on her please,O
i thought junglers couldnt get any worse,E
?,O
u cant even have cs,O
noob axe hahahah galwang ninja,E
no1 muted atm here,O
silence dick sucker,E
20 assist commend me :D,A
gege,O
HAHAHHA XD blademail hahaha,O
Z ES EZ,I
wait la eating  you know me so well la ,A
ty,O
worst spawns i have every seen,E
xd,O
XD,O
yah whore,O
+,O
fucking shit holyshit,E
gg,O
oxigeno en el cerebro porfavor,O
he got this,O
rip 4v5 cuh? 4v4 *,O
aw,O
you know it's gonna be hard when huskar is picked against spectre,O
gg,O
ty commend me :),A
Z DANCE > <,I
finish guys,O
NOOBS :)))))))))))))))) noob techies delet dota 2,E
yawn,O
go farm more u need more farm,O
:),O
gg,O
okairi ~,O
np u have the basics down you're almost a good np,O
eat dagon,I
report this wyvern stupid piece of fuck,E
joker sf,E
see free mmr,O
wow,O
Z NOOB,E
report WK please,A
?,O
lol,O
ggwp,O
30 29 27 24,O
LAGGING,O
end,O
ez,I
THEN I WENT HELL :/ RAPIRAA,O
we wait,A
kl,O
fail mid,O
repor clinkz plz all plz plz,A
nice hero icefrog,O
sk afk lich,A
haha,O
i dont get tit,O
wait  wait plz deco,A
ggWp,O
idiots,E
mine will be cooldown when u respawn,O
?,O
LOL,O
GGGGGGGGGGGGGGGGG,O
^^,O
fucking offlaners,E
sorry tried,O
just report bh and end game was over before it even started easy even riki picker wins,A
gg wipe,O
ez,I
XD,O
),O
comment me,A
lol,O
lol comke cop come,O
1 vs 1 pls haha  u are ez for me haha,I
just team of bad initiation fuck me into qop ulti and instead of back they go fight ~,E
shit shirt,E
GFG,O
connecting  pls wait his already conecting,O
lololol,O
gay hero,E
because of bad picks 1 sup,O
carry por suport :),I
Wtf,O
does he have tp YES! WTF,O
g,A
HAHA,O
dodge the game gg,O
puck.. pls..,O
wp,O
WP,O
ZZ,O
tide fuckign tp,E
lol,O
glhf,O
come at me 1v1,O
fxxk pa,O
no we r slayers,O
fk man thats too bad for you whould probs get urself checked,E
dieback gg lich,O
Omg,O
got early morning cya,O
whyy,O
ha? haha really,O
gg wp,O
i feel sorry for doom,O
pfff,O
best sun strike ever,O
gg,O
cant believe your wards see me plantign all those wards,I
NORM,O
-_-,O
im supp undying carry,A
but you rekt bot,O
now you gonna flame me you little shit? god what in the world is that,E
wtf i cant wait,A
NO,O
gg,O
my entire team is just flaming,O
gg,O
wow blame ? see,O
ez tactical afkk,A
see,O
report pudge ty,A
BLACK DICK BAR,E
"gg, wp",O
nc,O
LD,O
?,O
hay,O
ND MID PLS NO DEFENDERE FAST PLS,O
Gg,O
hohoho,O
DID U forget ur safe word ?,O
thx for wivern mi,O
jjust end this is stupid,E
ceci est tout ? fait dingue,O
why what,O
:D,O
lol,O
wow pro mirana,O
BARA SO EZ HERO,I
not dc right?,O
he aint coming back,O
LOL,O
u noob,E
wat why,O
i had abilities?,O
gg?>,O
can u stfu?,E
gg,O
report sf Plz,A
No Report Axe He has BFury And Silver Edge,A
